"Kod";"Nazwa";"Okresy";"Transakcje rynkowe";"Powierzchnia użytkowa lokali mieszkalnych";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
2605000;"Powiat konecki";"3 kwartał";"ogółem";"ogółem";"2019";2586;"zł";"";
2605000;"Powiat konecki";"3 kwartał";"ogółem";"ogółem";"2020";3336;"zł";"";
2605000;"Powiat konecki";"3 kwartał";"ogółem";"ogółem";"2021";3159;"zł";"";
2605000;"Powiat konecki";"3 kwartał";"ogółem";"ogółem";"2022";;"zł";"n";
2605000;"Powiat konecki";"4 kwartał";"ogółem";"ogółem";"2010";2753;"zł";"";
2605000;"Powiat konecki";"4 kwartał";"ogółem";"ogółem";"2011";2569;"zł";"";
2605000;"Powiat konecki";"4 kwartał";"ogółem";"ogółem";"2012";2717;"zł";"";
2605000;"Powiat konecki";"4 kwartał";"ogółem";"ogółem";"2013";2573;"zł";"";
2605000;"Powiat konecki";"4 kwartał";"ogółem";"ogółem";"2014";2826;"zł";"";
2605000;"Powiat konecki";"4 kwartał";"ogółem";"ogółem";"2015";2155;"zł";"";
2605000;"Powiat konecki";"4 kwartał";"ogółem";"ogółem";"2016";2375;"zł";"";
2605000;"Powiat konecki";"4 kwartał";"ogółem";"ogółem";"2017";2577;"zł";"";
2605000;"Powiat konecki";"4 kwartał";"ogółem";"ogółem";"2018";2965;"zł";"";
2605000;"Powiat konecki";"4 kwartał";"ogółem";"ogółem";"2019";2687;"zł";"";
2605000;"Powiat konecki";"4 kwartał";"ogółem";"ogółem";"2020";0;"zł";"x";
2605000;"Powiat konecki";"4 kwartał";"ogółem";"ogółem";"2021";4503;"zł";"";
2605000;"Powiat konecki";"4 kwartał";"ogółem";"ogółem";"2022";;"zł";"n";
2606000;"Powiat opatowski";"1 kwartał";"ogółem";"ogółem";"2010";1867;"zł";"";
2606000;"Powiat opatowski";"1 kwartał";"ogółem";"ogółem";"2011";2791;"zł";"";
2606000;"Powiat opatowski";"1 kwartał";"ogółem";"ogółem";"2012";2424;"zł";"";
2606000;"Powiat opatowski";"1 kwartał";"ogółem";"ogółem";"2013";0;"zł";"";
2606000;"Powiat opatowski";"1 kwartał";"ogółem";"ogółem";"2014";0;"zł";"x";
2606000;"Powiat opatowski";"1 kwartał";"ogółem";"ogółem";"2015";2402;"zł";"";
2606000;"Powiat opatowski";"1 kwartał";"ogółem";"ogółem";"2016";1514;"zł";"";
2606000;"Powiat opatowski";"1 kwartał";"ogółem";"ogółem";"2017";1911;"zł";"";
2606000;"Powiat opatowski";"1 kwartał";"ogółem";"ogółem";"2018";3569;"zł";"";
2606000;"Powiat opatowski";"1 kwartał";"ogółem";"ogółem";"2019";2385;"zł";"";
2606000;"Powiat opatowski";"1 kwartał";"ogółem";"ogółem";"2020";4011;"zł";"";
2606000;"Powiat opatowski";"1 kwartał";"ogółem";"ogółem";"2021";3640;"zł";"";
2606000;"Powiat opatowski";"1 kwartał";"ogółem";"ogółem";"2022";;"zł";"n";
2606000;"Powiat opatowski";"2 kwartał";"ogółem";"ogółem";"2010";2665;"zł";"";
2606000;"Powiat opatowski";"2 kwartał";"ogółem";"ogółem";"2011";2000;"zł";"";
2606000;"Powiat opatowski";"2 kwartał";"ogółem";"ogółem";"2012";0;"zł";"x";
2606000;"Powiat opatowski";"2 kwartał";"ogółem";"ogółem";"2013";0;"zł";"x";
2606000;"Powiat opatowski";"2 kwartał";"ogółem";"ogółem";"2014";1746;"zł";"";
2606000;"Powiat opatowski";"2 kwartał";"ogółem";"ogółem";"2015";2021;"zł";"";
2606000;"Powiat opatowski";"2 kwartał";"ogółem";"ogółem";"2016";2200;"zł";"";
2606000;"Powiat opatowski";"2 kwartał";"ogółem";"ogółem";"2017";1899;"zł";"";
2606000;"Powiat opatowski";"2 kwartał";"ogółem";"ogółem";"2018";2399;"zł";"";
2606000;"Powiat opatowski";"2 kwartał";"ogółem";"ogółem";"2019";2197;"zł";"";
2606000;"Powiat opatowski";"2 kwartał";"ogółem";"ogółem";"2020";1948;"zł";"";
2606000;"Powiat opatowski";"2 kwartał";"ogółem";"ogółem";"2021";3299;"zł";"";
2606000;"Powiat opatowski";"2 kwartał";"ogółem";"ogółem";"2022";;"zł";"n";
2606000;"Powiat opatowski";"3 kwartał";"ogółem";"ogółem";"2010";0;"zł";"x";
2606000;"Powiat opatowski";"3 kwartał";"ogółem";"ogółem";"2011";3021;"zł";"";
2606000;"Powiat opatowski";"3 kwartał";"ogółem";"ogółem";"2012";1439;"zł";"";
2606000;"Powiat opatowski";"3 kwartał";"ogółem";"ogółem";"2013";1560;"zł";"";
2606000;"Powiat opatowski";"3 kwartał";"ogółem";"ogółem";"2014";0;"zł";"x";
2606000;"Powiat opatowski";"3 kwartał";"ogółem";"ogółem";"2015";0;"zł";"x";
2606000;"Powiat opatowski";"3 kwartał";"ogółem";"ogółem";"2016";2134;"zł";"";
2606000;"Powiat opatowski";"3 kwartał";"ogółem";"ogółem";"2017";2241;"zł";"";
2606000;"Powiat opatowski";"3 kwartał";"ogółem";"ogółem";"2018";2069;"zł";"";
2606000;"Powiat opatowski";"3 kwartał";"ogółem";"ogółem";"2019";2424;"zł";"";
2606000;"Powiat opatowski";"3 kwartał";"ogółem";"ogółem";"2020";2655;"zł";"";
2606000;"Powiat opatowski";"3 kwartał";"ogółem";"ogółem";"2021";3626;"zł";"";
2606000;"Powiat opatowski";"3 kwartał";"ogółem";"ogółem";"2022";;"zł";"n";
2606000;"Powiat opatowski";"4 kwartał";"ogółem";"ogółem";"2010";2046;"zł";"";
2606000;"Powiat opatowski";"4 kwartał";"ogółem";"ogółem";"2011";0;"zł";"";
2606000;"Powiat opatowski";"4 kwartał";"ogółem";"ogółem";"2012";0;"zł";"x";
2606000;"Powiat opatowski";"4 kwartał";"ogółem";"ogółem";"2013";0;"zł";"x";
2606000;"Powiat opatowski";"4 kwartał";"ogółem";"ogółem";"2014";0;"zł";"x";
2606000;"Powiat opatowski";"4 kwartał";"ogółem";"ogółem";"2015";1587;"zł";"";
2606000;"Powiat opatowski";"4 kwartał";"ogółem";"ogółem";"2016";1672;"zł";"";
2606000;"Powiat opatowski";"4 kwartał";"ogółem";"ogółem";"2017";0;"zł";"x";
2606000;"Powiat opatowski";"4 kwartał";"ogółem";"ogółem";"2018";1261;"zł";"";
2606000;"Powiat opatowski";"4 kwartał";"ogółem";"ogółem";"2019";2439;"zł";"";
2606000;"Powiat opatowski";"4 kwartał";"ogółem";"ogółem";"2020";2051;"zł";"";
2606000;"Powiat opatowski";"4 kwartał";"ogółem";"ogółem";"2021";3958;"zł";"";
2606000;"Powiat opatowski";"4 kwartał";"ogółem";"ogółem";"2022";;"zł";"n";
2607000;"Powiat ostrowiecki";"1 kwartał";"ogółem";"ogółem";"2010";2491;"zł";"";
2607000;"Powiat ostrowiecki";"1 kwartał";"ogółem";"ogółem";"2011";2292;"zł";"";
2607000;"Powiat ostrowiecki";"1 kwartał";"ogółem";"ogółem";"2012";2854;"zł";"";
2607000;"Powiat ostrowiecki";"1 kwartał";"ogółem";"ogółem";"2013";2305;"zł";"";
2607000;"Powiat ostrowiecki";"1 kwartał";"ogółem";"ogółem";"2014";3005;"zł";"";
2607000;"Powiat ostrowiecki";"1 kwartał";"ogółem";"ogółem";"2015";2083;"zł";"";
2607000;"Powiat ostrowiecki";"1 kwartał";"ogółem";"ogółem";"2016";1822;"zł";"";
2607000;"Powiat ostrowiecki";"1 kwartał";"ogółem";"ogółem";"2017";2203;"zł";"";
2607000;"Powiat ostrowiecki";"1 kwartał";"ogółem";"ogółem";"2018";2091;"zł";"";
2607000;"Powiat ostrowiecki";"1 kwartał";"ogółem";"ogółem";"2019";2284;"zł";"";
2607000;"Powiat ostrowiecki";"1 kwartał";"ogółem";"ogółem";"2020";2723;"zł";"";
2607000;"Powiat ostrowiecki";"1 kwartał";"ogółem";"ogółem";"2021";2974;"zł";"";
2607000;"Powiat ostrowiecki";"1 kwartał";"ogółem";"ogółem";"2022";;"zł";"n";
