"Kod";"Nazwa";"Okresy";"Wynagrodzenie brutto";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0800000;"LUBUSKIE";"4 kwartał";"ogółem";"2018";4548,38;"zł";"";
0800000;"LUBUSKIE";"4 kwartał";"ogółem";"2019";4825,60;"zł";"";
0800000;"LUBUSKIE";"4 kwartał";"ogółem";"2020";5112,52;"zł";"";
0800000;"LUBUSKIE";"4 kwartał";"ogółem";"2021";5632,50;"zł";"";
0800000;"LUBUSKIE";"4 kwartał";"ogółem";"2022";;"zł";"n";
1000000;"ŁÓDZKIE";"1 kwartał";"ogółem";"2010";3198,71;"zł";"";
1000000;"ŁÓDZKIE";"1 kwartał";"ogółem";"2011";3380,91;"zł";"";
1000000;"ŁÓDZKIE";"1 kwartał";"ogółem";"2012";3571,59;"zł";"M";
1000000;"ŁÓDZKIE";"1 kwartał";"ogółem";"2013";3677,50;"zł";"";
1000000;"ŁÓDZKIE";"1 kwartał";"ogółem";"2014";3818,49;"zł";"";
1000000;"ŁÓDZKIE";"1 kwartał";"ogółem";"2015";3978,30;"zł";"";
1000000;"ŁÓDZKIE";"1 kwartał";"ogółem";"2016";4091,50;"zł";"";
1000000;"ŁÓDZKIE";"1 kwartał";"ogółem";"2017";4241,80;"zł";"";
1000000;"ŁÓDZKIE";"1 kwartał";"ogółem";"2018";4514,04;"zł";"";
1000000;"ŁÓDZKIE";"1 kwartał";"ogółem";"2019";4851,81;"zł";"";
1000000;"ŁÓDZKIE";"1 kwartał";"ogółem";"2020";5274,12;"zł";"";
1000000;"ŁÓDZKIE";"1 kwartał";"ogółem";"2021";5766,99;"zł";"";
1000000;"ŁÓDZKIE";"1 kwartał";"ogółem";"2022";6209,09;"zł";"";
1000000;"ŁÓDZKIE";"2 kwartał";"ogółem";"2010";2993,09;"zł";"";
1000000;"ŁÓDZKIE";"2 kwartał";"ogółem";"2011";3204,98;"zł";"";
1000000;"ŁÓDZKIE";"2 kwartał";"ogółem";"2012";3438,31;"zł";"M";
1000000;"ŁÓDZKIE";"2 kwartał";"ogółem";"2013";3447,65;"zł";"";
1000000;"ŁÓDZKIE";"2 kwartał";"ogółem";"2014";3572,84;"zł";"";
1000000;"ŁÓDZKIE";"2 kwartał";"ogółem";"2015";3698,63;"zł";"";
1000000;"ŁÓDZKIE";"2 kwartał";"ogółem";"2016";3849,88;"zł";"";
1000000;"ŁÓDZKIE";"2 kwartał";"ogółem";"2017";4052,47;"zł";"";
1000000;"ŁÓDZKIE";"2 kwartał";"ogółem";"2018";4333,55;"zł";"";
1000000;"ŁÓDZKIE";"2 kwartał";"ogółem";"2019";4630,92;"zł";"";
1000000;"ŁÓDZKIE";"2 kwartał";"ogółem";"2020";4914,50;"zł";"";
1000000;"ŁÓDZKIE";"2 kwartał";"ogółem";"2021";5459,42;"zł";"";
1000000;"ŁÓDZKIE";"2 kwartał";"ogółem";"2022";5948,51;"zł";"";
1000000;"ŁÓDZKIE";"3 kwartał";"ogółem";"2010";3082,59;"zł";"";
1000000;"ŁÓDZKIE";"3 kwartał";"ogółem";"2011";3320,36;"zł";"";
1000000;"ŁÓDZKIE";"3 kwartał";"ogółem";"2012";3434,55;"zł";"M";
1000000;"ŁÓDZKIE";"3 kwartał";"ogółem";"2013";3563,12;"zł";"";
1000000;"ŁÓDZKIE";"3 kwartał";"ogółem";"2014";3672,78;"zł";"";
1000000;"ŁÓDZKIE";"3 kwartał";"ogółem";"2015";3794,05;"zł";"";
1000000;"ŁÓDZKIE";"3 kwartał";"ogółem";"2016";3916,10;"zł";"";
1000000;"ŁÓDZKIE";"3 kwartał";"ogółem";"2017";4136,46;"zł";"";
1000000;"ŁÓDZKIE";"3 kwartał";"ogółem";"2018";4494,96;"zł";"";
1000000;"ŁÓDZKIE";"3 kwartał";"ogółem";"2019";4863,68;"zł";"";
1000000;"ŁÓDZKIE";"3 kwartał";"ogółem";"2020";5122,87;"zł";"";
1000000;"ŁÓDZKIE";"3 kwartał";"ogółem";"2021";5631,83;"zł";"";
1000000;"ŁÓDZKIE";"3 kwartał";"ogółem";"2022";6392,29;"zł";"";
1000000;"ŁÓDZKIE";"4 kwartał";"ogółem";"2010";3349,93;"zł";"";
1000000;"ŁÓDZKIE";"4 kwartał";"ogółem";"2011";3472,21;"zł";"";
1000000;"ŁÓDZKIE";"4 kwartał";"ogółem";"2012";3628,03;"zł";"M";
1000000;"ŁÓDZKIE";"4 kwartał";"ogółem";"2013";3748,75;"zł";"";
1000000;"ŁÓDZKIE";"4 kwartał";"ogółem";"2014";3876,61;"zł";"";
1000000;"ŁÓDZKIE";"4 kwartał";"ogółem";"2015";4017,87;"zł";"";
1000000;"ŁÓDZKIE";"4 kwartał";"ogółem";"2016";4170,71;"zł";"";
1000000;"ŁÓDZKIE";"4 kwartał";"ogółem";"2017";4440,14;"zł";"";
1000000;"ŁÓDZKIE";"4 kwartał";"ogółem";"2018";4809,28;"zł";"";
1000000;"ŁÓDZKIE";"4 kwartał";"ogółem";"2019";5188,31;"zł";"";
1000000;"ŁÓDZKIE";"4 kwartał";"ogółem";"2020";5526,13;"zł";"";
1000000;"ŁÓDZKIE";"4 kwartał";"ogółem";"2021";6096,19;"zł";"";
1000000;"ŁÓDZKIE";"4 kwartał";"ogółem";"2022";;"zł";"n";
1200000;"MAŁOPOLSKIE";"1 kwartał";"ogółem";"2010";3359,80;"zł";"";
1200000;"MAŁOPOLSKIE";"1 kwartał";"ogółem";"2011";3519,12;"zł";"";
1200000;"MAŁOPOLSKIE";"1 kwartał";"ogółem";"2012";3697,16;"zł";"M";
